Longitude,Latitude,ID2,ROW,COLUMN,ID,Horizons,Depth (cm),DHue,DVal,DChr,Mhue,MVal,MChr,% Clay,Structure,DConsist,WConsist,Stickiness,Plasticity,Roots,Pores,ISFs,Misc. Features
-117.085006,46.778632,7,1,11,7,Ap,26,10YR,4,3,10YR,2,1,,2fgr-3fsbk,mh,vfr,ss,sp,3vf,3vfdt&i,-,compacted
-117.085006,46.778632,7,1,11,7,A,66,10YR,3,3,10YR,2,1,,2mgr-2msbk,mh,vfr,ss,sp,3vf,3vfdt&i,fdpf,"earthworm casts, large filled worm channel with granular material"
-117.085006,46.778632,7,1,11,7,Bw,84,10YR,4,4,10YR,3,4,,2f-msbk,h,vfr,ss-ws,p,2vf,3vft,fdpf,"clay films, krotovinas"
-117.085006,46.778632,7,1,11,7,Ab,100,10YR,4,3,10YR,2,2,,2mgr-2msbk,mh,vfr,ss,sp,2vf,3vfdt&i,-,"possible buried A, earthworm casts, channels"
-117.085006,46.778632,7,1,11,7,Bwb,100+,10YR,5,3,10YR,3,3,,2f-msbk,h,vfr,ss,po,1vf,3vft,cdpf,"clay films, filled krotovinas"
-117.08417,46.778674,9,1,13,9,Ap,20,10YR,4,2,10YR,2,1,,2mgr-2fsbk,h,fr,so,sp,2vf,3vfdt&i,-,"compacted, earthworm casts"
-117.08417,46.778674,9,1,13,9,A,47,10YR,3,3,10YR,2,1,,2fgr-2msbk,mh,fr,ss,sp,3vf,3vfdt&i,-,earthworm casts
-117.08417,46.778674,9,1,13,9,Bw1,73,10YR,4,3,10YR,3,3,,2msbk-2fpr,mh,vfr,ss,sp,3vf,3vf-fdt,"ffpf, fppo","clay films, earthworm casts, large worm channel"
-117.08417,46.778674,9,1,13,9,Bw2,103,10YR,5,4,10YR,3,4,,2msbk-2fpr,h,vfr,ws,p,2vf,3vf-fdt,"fppo, ffpf, fdpf","large worm channels, clay films, skeletans"
-117.08417,46.778674,9,1,13,9,Bwb,103+,10YR,6,4,10YR,4,4,,2f-msbk,h,fr,ss,sp,1vf,3vfdt&i,-,small filled krotovinas
-117.083334,46.778658,11,1,15,11,Ap,24,10YR,4,3,10YR,2,1,,2fgr-3fsbk,h,fr,so,sp,3vf,3vfdt&i,-,slightly compacted
-117.083334,46.778658,11,1,15,11,A,44,10YR,3,2,10YR,2,1,,2fgr-2msbk,sh,vfr,ss,sp,3vf,3vf-fdt&I,-,earthworm channels
-117.083334,46.778658,11,1,15,11,AB,62,10YR,3,3,10YR,2,2,,2f-msbk,mh,fr,s,p,3vf,3vf-fdt,-,"OM-lined worm channels, some clay illuviation"
-117.083334,46.778658,11,1,15,11,Bw1,93,10YR,4,4,10YR,3,3,,2f-msbk-2fpr,h,vfr,s,p,2vf,3vfdt,"ffpf, ffpf","thick clay lamellae, clay films, small worm channels"
-117.083334,46.778658,11,1,15,11,Bw2,93+,10YR,5,4,10YR,3,3,,2msbk-2fpr,h,vfr,s,p,2vf,3vfdt,"cdpf, fdpf","clay films, Mn-nodules"
-117.082498,46.778764,13,1,17,13,Ap,20,10YR,4,2,10YR,2,2,,2fgr-3fsbk,h,fi,ss,sp,3vf,3vfdt&i,-,compacted
-117.082498,46.778764,13,1,17,13,A,48,10YR,3,3,10YR,2,1,,2f-msbk,sh,fr,ss,sp,2vf,3vfdt,"cfpf, ffpo","clay films, earthworm casts"
-117.082498,46.778764,13,1,17,13,AB,77,10YR,3,3,10YR,2,2,,2m-cosbk,h,vfr,ss,p,1-2vf,2vf-fdt,cfpf,clay films
-117.082498,46.778764,13,1,17,13,Btb1,105,10YR,4,4,10YR,3,2,,2f-cosbk,h,vfr,s,p,1vf,3vfdt,"cdpf, fdpf","clay skins, Mn-nodules"
-117.082498,46.778764,13,1,17,13,Btb2,105+,10YR,5,4,10YR,3,4,,2fmsbk,vh,vfr,s,p,1vf,3vfdt,"cdpf, ffpf","clay skins, Mn-nodules, filled krotovina"
-117.081244,46.778707,15,1,20,15,Ap,13,10YR,5,2,10YR,2,1,,2fgr-2fsbk,mh,vfr,so,sp,2vf,2vfdt&I,-,slightly compacted
-117.081244,46.778707,15,1,20,15,A,40,10YR,4,3,10YR,2,2,,2fgr-2msbk,mh,fr,so,sp,3vf,3vfdt&i,fdpo,"earthworm channels, clay increase in bottom of horizon"
-117.081244,46.778707,15,1,20,15,BE,64,10YR,5,4,10YR,3,3,,2f-msbk,sh,vfr,ss,sp,2vf,3vf-fdt,ffpo,"earthworm channels, mixed eluviation/reduction"
-117.081244,46.778707,15,1,20,15,E,79,10YR,6,3,10YR,4,3,,2f-msbk,lo-sh,vfr,so,po,-,2vfdt,-,eluviation/reduction
-117.081244,46.778707,15,1,20,15,Btb1,110,10YR,4,4,10YR,4,3,,2m-cosbk-2fpr,h,fi,s,p,-,2vfdt,"mppf, fppf, cfpf","organo-argillans, skeletans, Mn-nodules"
-117.081244,46.778707,15,1,20,15,Btb2,110+,10YR,5,4,10YR,3,3,,2m-cosbk,h,fi,s,p,-,2vfdt,"cppo, cppf, cfpf","OM-clays in root channels, organo-argillans, Mn-nodules"
-117.07999,46.778797,17,1,23,17,Ap,15,10YR,5,3,10YR,2,1,,2fgr-2fsbk,mh,fr,so,sp,2vf,3vfdt&i,-,straw residue
-117.07999,46.778797,17,1,23,17,A1,33,10YR,3,3,10YR,2,1,,2fgr-2msbk,sh,fr,so-ss,sp,2vf,3vfdt&i,-,small earthworm channels
-117.07999,46.778797,17,1,23,17,A2,65,10YR,3,3,10YR,2,2,,2fgr-2msbk,sh,vfr,ss,po,2vf,3vfdt&i,-,clay increase at bottom of horizon
-117.07999,46.778797,17,1,23,17,AB,86,10YR,5,3,10YR,2,2,,2f-cosbk,sh,vfr,s,sp,1vf,3vfdt,"fdpo, ffpf, ffpf","filled krotovinas, skeletans, clay films"
-117.07999,46.778797,17,1,23,17,Bw,86+,10YR,6,2,10YR,3,3,,2f-msbk,h,vfr,ss,sp,1vf,3vfdt,ffpf,"krotovina, clay films"
-117.0884663,46.77882662,19,2,2,19,Ap,24,10YR,5,3,10YR,2,2,,2mgr-3msbk,h,fi,so-ss,sp,2vf-f,3vfdt&I,-,compacted
-117.0884663,46.77882662,19,2,2,19,A,48,10YR,4,3,10YR,2,2,,2mgr-2msbk,mh,vfr,ss,sp,3vf,3vfdt&I,"cfpf, fdpf","clay-OM films, earthworm casts, earthworm channels"
-117.0884663,46.77882662,19,2,2,19,Bw,64,10YR,5,4,10YR,3,3,,2f-msbk,mh,fr,s,sp,2vf-f,3vf-fdt,"fdpf, cdpf","clay-OM films, some washed silts"
-117.0884663,46.77882662,19,2,2,19,EB,82,10YR,6,4,10YR,4,4,,2f-cosbk,mh,vfr,s,sp,1vf,3vf-fdt,cdpi,eluviation/reduction w/ clay skins inside peds
-117.0884663,46.77882662,19,2,2,19,Btb1,110,10YR,4,4,10YR,3,4,,2m-cosbk-2fpr,h,fr,s,p,1vf,2vfdt,mppf,"dark clay skins, eluvial tongues in upper part"
-117.0884663,46.77882662,19,2,2,19,Btb2,127,10YR,4,6,10YR,3,4,,2m-cosbk,h,fi,vs,p,-,2vfdt,"mppf, cfpf","dark clay skins, Mn-nodules"
-117.0884663,46.77882662,19,2,2,19,Btb3,127+,10YR,5,6,10YR,4,6,,2m-cosbk-2fpr,vh,vfr,vs,sp,-,1vfdt,"fdpo, cfpf, mppf","filled krotovinas, Mn-nodules, clay skins"
-117.087646,46.778842,21,2,4,21,Ap,13,10YR,5,3,10YR,2,2,,2mgr-2msbk,mh,fr,so,sp,2vf,3vfdt&i,-,slightly compacted
-117.087646,46.778842,21,2,4,21,A,25,10YR,4,3,10YR,3,3,,2fgr-2msbk,sh,vfr,ss,sp,3vf,3vfdt&i,fdpf,earthworm casts
-117.087646,46.778842,21,2,4,21,AB,49,10YR,3,3,10YR,2,2,,2f-msbk,sh,vfr,ss,sp,3vf,3vfdt,ffpf,"clay films, filled krotovinas, earthworm channels"
-117.087646,46.778842,21,2,4,21,Bw,69,10YR,4,4,10YR,3,3,,2f-cosbk,sh,vfr,ss,p,2vf,3vfdt,"ffpf, fppo","clay-OM films, worm channels"
-117.087646,46.778842,21,2,4,21,Bwk1,114,10YR,6,4,10YR,4,4,,2f-msbk,lo-sh,vfr,so,po,2vf,3vf-fdt,"cppf-po, ffpf","e-es carbonates, clay films, filled krotovinas"
-117.087646,46.778842,21,2,4,21,Bwk2,114+,10YR,6,4,10YR,5,6,,2f-cosbk,lo-sh,vfr,ss,po,1vf,3vf-fdt,cppf-po,es carbonates
-117.086831,46.77900278,23,2,6,23,Ap,13,10YR,5,2,10YR,2,2,,2fgr-2msbk,mh,fr,so,sp,3vf,3vfdt&I,-,-
-117.086831,46.77900278,23,2,6,23,A,37,10YR,5,3,10YR,2,2,,2f-msbk,mh,vfr,ss,sp,3vf,3vfdt,fdpo,earthworm channels
-117.086831,46.77900278,23,2,6,23,BA,59,10YR,5,4,10YR,3,3,,2f-cosbk,mh,fr,s,p,2vf,3vfdt,cfpf,"clay films, small worm channels"
-117.086831,46.77900278,23,2,6,23,Bw1,79,10YR,5,6,10YR,3,4,,2m-cosbk,h,fr,s,sp,1-2vf,3vfdt,"cdpf, fdpf","dark clay films, skeletans"
-117.086831,46.77900278,23,2,6,23,Bw2,122,10YR,6,4,10YR,4,3,,2m-cosbk-2fpr,h,vfr,s,p,1-2vf,3vfdt,"cppf, mdpf","skeletans, clay films, roots between ped faces"
-117.086831,46.77900278,23,2,6,23,Bw3,122+,10YR,5,4,10YR,4,4,,2m-cosbk-2fpr,h,fr,s,p,1vf,3vfdt,"cdpf, mdpf","skeletans, clay films"
-117.085974,46.779047,25,2,8,25,Ap,14,10YR,4,2,10YR,2,2,,2fgr-2fsbk,sh,vfr,so,sp,3vf,3vfdt&i,-,-
-117.085974,46.779047,25,2,8,25,AB,33,10YR,4,3,10YR,2,2,,2fgr-2msbk,sh,fr,ss,sp,2vf,3vfdt&i,"fdpo, ffpf","earthworm channels, clay films"
-117.085974,46.779047,25,2,8,25,Bw,58,10YR,4,4,10YR,3,4,,2f-msbk,sh,vfr,ss,sp-p,2vf,3vfdt,"ffpf, fdpo","clay films, filled krotovinas"
-117.085974,46.779047,25,2,8,25,EB1,88,10YR,5,4,10YR,3,4,,2f-cosbk-2fpr,mh,fr,ss,sp,1vf,3vfdt,"fppf, fdpf","clay lamellae, organo-argillans on ped faces, eluviation/reduction"
-117.085974,46.779047,25,2,8,25,EB2,106,10YR,6,4,10YR,4,4,,2f-msbk-2fpr,sh,vfr,ss,sp,1vf,3vfdt,cdpf,"clay films, eluviation/reduction"
-117.085974,46.779047,25,2,8,25,Btb,106+,10YR,5,4,10YR,3,4,,2m-cosbk-2mpr,vh,fi,s,p,-,3vfdt,"cppf, fdpf, fppo","organo-argillans, Mn-nodules, OM in root channels"
-117.085117,46.77906282,27,2,10,27,Ap,24,10YR,4,2,10YR,2,1,,3fgr-2fsbk,sh,vfr,so,sp,2vf,3vfdt&I,-,-
-117.085117,46.77906282,27,2,10,27,BA,41,10YR,4,3,10YR,3,3,,2f-msbk,sh,fr,ss,sp-p,3vf,3vfdt,"fdpo, ffpf","filled krotovinas, clay films"
-117.085117,46.77906282,27,2,10,27,Bw1,62,10YR,4,4,10YR,3,4,,2f-cosbk,sh,vfr,ss,sp,3vf,3vfdt,cdpf,"clay films, filled krotovinas, worm channels"
-117.085117,46.77906282,27,2,10,27,Bw2,96,10YR,5,4,10YR,3,4,,2f-msbk,sh,vfr,s,sp-p,2vf,3vf-fdt,fdpf,"clay films, earthworm channels, higher color value"
-117.085117,46.77906282,27,2,10,27,Bw3,128,10YR,5,4,10YR,3,4,,2m-cosbk,sh,vfr,s,p,1vf,3vf-fdt,ffpf,"clay films, earthworm channels"
-117.085117,46.77906282,27,2,10,27,Bk,128+,10YR,6,4,10YR,4,4,,2fgr-2msbk,lo-sh,vfr,ss,sp,1vf,2vf-fdt&I,mppf,"carbonate precipitation, filled krotovinas"
-117.084302,46.779007,29,2,12,29,Ap,22,10YR,4,2,10YR,2,2,,2f-mgr,sh,vfr,ss,po,3vf,2vfdt&I,-,-
-117.084302,46.779007,29,2,12,29,AB,50,10YR,5,4,10YR,4,4,,2f-msbk,mh,fr,ss,sp,3vf,3vfdt,cppo,filled krotovinas
-117.084302,46.779007,29,2,12,29,Bw1,68,10YR,6,4,10YR,4,4,,2msbk-2fpr,sh,fr-fi,ss,p,3vf,3vfdt,cppo,filled krotovinas
-117.084302,46.779007,29,2,12,29,Bw2,92,10YR,5,4,10YR,3,3,,2msbk-2fpr,mh,fr,ss,sp,2vf,2vfdt,cppf,roots in ped cracks
-117.084302,46.779007,29,2,12,29,Ck1,137,10YR,6,3,10YR,3,4,,2f-msbk,sh,vfr,so,po,1vf,2vfdt,mppf-pi,carbonates
-117.084302,46.779007,29,2,12,29,Ck2,137+,10YR,6,4,10YR,3,4,,2f-msbk,sh,vfr,so,po,-,2vfdt,"mppf-pi, ffpf","carbonates, clay films"
-117.083466,46.779023,31,2,14,31,Ap,13,10YR,4,2,10YR,2,1,,2fgr-2msbk,mh,fr,ss,sp,2vf,3vfdt&I,-,-
-117.083466,46.779023,31,2,14,31,A1,40,10YR,3,3,10YR,2,1,,2msbk-2fgr,h,fi,ss,sp,2vf,3vfdt&I,fdpo,"earthworm casts, somewhat compacted"
-117.083466,46.779023,31,2,14,31,A2,57,10YR,5,3,10YR,3,3,,2f-msbk,sh,fr,s,sp,2vf-f,3vfdt,-,-
-117.083466,46.779023,31,2,14,31,Bw1,88,10YR,5,4,10YR,3,4,,2msbk-2fpr,mh,fi,s,p,2vf-f,2vfdt,"cfpo, mdpf","small worm channels, clay films"
-117.083466,46.779023,31,2,14,31,Bw2,127,10YR,5,6,10YR,4,4,,2cosbk-2fpr,h,fr,ss,p,1vf,2vfdt,"cppo, mdpf, cfpf","large filled krotovinas, clay films, Mn-nodules"
-117.083466,46.779023,31,2,14,31,Bwb,127+,10YR,5,6,10YR,3,6,,2msbk-2fpr,h,fr,ss,p,1vf,2vfdt,"cdpf, cdpf, cfpo","Mn-nodules, clay films, OM in root channels"
-117.08263,46.779013,33,2,16,33,Ap,9,10YR,4,2,10YR,2,1,,2fgr-2fbk,mh,vfr,so,po,3vf-f,3vfdt&I,-,slightly compacted
-117.08263,46.779013,33,2,16,33,AB,21,10YR,4,4,10YR,3,4,,2fgr-2fsbk,sh,vfr,ss,po,3vf,3vfdt&I,-,-
-117.08263,46.779013,33,2,16,33,Bk,59,10YR,5,3,10YR,3,4,,1-2f-msbk,sh,vfr,so,po,2vf,2vfdt,"mppf, fdpf","carbonates, some skeletans"
-117.08263,46.779013,33,2,16,33,Bk2,96,10YR,5,4,10YR,3,4,,1-2f-msbk,sh-h,fr,so,po,-,3vfdt,"mppf, cfpf","carbonate streaks, clay films"
-117.08263,46.779013,33,2,16,33,Bk3,135,10YR,6,4,10YR,4,4,,2f-msbk-2fpr,mh,fo,ss,sp,-,3vfdt,"cppf, fppo","carbonate streaks, large filled krotovinas"
-117.08263,46.779013,33,2,16,33,Bk4,135+,10YR,6,4,10YR,4,4,,2fsbk,h,vfr,ss,sp,-,3vfdt,fppo,carbonate streaks
-117.081794,46.778852,35,2,18,35,Ap,11,10YR,4,2,10YR,2,1,,2fgr-2fsbk,mh,fr,sp,sp,2vf,3vfdt&I,-,slightly compacted
-117.081794,46.778852,35,2,18,35,A1,24,10YR,4,3,10YR,2,1,,2fsbk,h,fr,ss,sp,2vf,3vfdt,-,-
-117.081794,46.778852,35,2,18,35,A2,45,10YR,3,2,10YR,2,2,,2msbk-2fpr,mh,fr,ss,p,2vf,3vfdt,fdpo,"small worm channels, heavier textures"
-117.081794,46.778852,35,2,18,35,AB,70,10YR,4,3,10YR,2,2,,2msbk-2fpr,h,vfr,s,sp,1-2vf,3vfdt,ffpf,clay films
-117.081794,46.778852,35,2,18,35,B/C,87,10YR,6,3,10YR,3,3,,3m-2msbk,so-sh,vfr,ss,sp,1vf,3vfi,-,"eluviation/reduction? ash?, mixed w/cambic material"
-117.081794,46.778852,35,2,18,35,Ab,121,10YR,4,3,10YR,3,3,,2f-msbk,mh,fr,s,p,-,1vfdt,"fppf, mppf, cdpo","skeletan spots, OM-clay films, OM in pores"
-117.081794,46.778852,35,2,18,35,Btb,121+,10YR,6,4,10YR,5,4,,2msbk,vh,fr,s,p,-,2vfdt,"cppf, mfpf","OM-clays in root channels, clay films"
-117.080958,46.778993,37,2,20,37,Ap,14,10YR,4,1,10YR,2,2,,2mgr-2fsbk,mh,fr,so,po,2vf,2vfdt&I,-,compacted
-117.080958,46.778993,37,2,20,37,A,26.5,10YR,4,3,10YR,2,1,,2f-mgr,h,vfr,so-ss,po,2vf,3vfdt&I,cdpf,small worm casts
-117.080958,46.778993,37,2,20,37,AE,42,10YR,3,1,10YR,3,2,,2mgr-2msbk,h,fr,ss,sp,3vf,3vfdt&I,cdpf,"OM-clay films, washed silts"
-117.080958,46.778993,37,2,20,37,Bw,69,10YR,4,1,10YR,5,4,,2f-msbk,mh,fr,s,p,2vf,3vfdt,cppf,"greater illuviation of OM-clays, washed silts"
-117.080958,46.778993,37,2,20,37,Btk1,98,10YR,7,3,10YR,5,4,,2f-msbk,sh,fr-fi,s,p,1vf,2vfdt,"mppf, cppf, cppf","Mn-nodules, carbonate streaks, clay-OM skins"
-117.080958,46.778993,37,2,20,37,Btk2,140,2.5Y,7,4,2.5Y,5,4,,2msbk-2fpr,h,fr,s,p,-,2vfdt,"mppf, cppf, fdpf","carbonate streaks, clay-OM films, Fe-oxides"
-117.080958,46.778993,37,2,20,37,Btb,140+,10YR,7,2,2.5Y,5,4,,2msbk-2fpr,mh,fr,s,p,-,1vfdt,"cppf, fppo, cfpf","OM-clay skins, OM-clay lined root channels, Mn-nodules"
-117.080122,46.779112,39,2,22,39,Ap,17,10YR,4,2,10YR,2,1,,2fgr-2fsbk,mh,fr,so,sp,2vf,2vfdt&I,-,"slightly compacted, earthworm casts"
-117.080122,46.779112,39,2,22,39,A,38,10YR,5,1,10YR,3,2,,2f-msbk,mh,fi,ss,po,2vf,3vfdt&I,cppf,organo-argillans
-117.080122,46.779112,39,2,22,39,Btk1,54,10YR,4,2,10YR,3,2,,2f-msbk,h,vfr,s,p,2vf,2vfdt,"mppf, ff-dpf","organo-argillans, carbonate streaks (e)"
-117.080122,46.779112,39,2,22,39,Btk2,78,10YR,5,2,10YR,4,2,,2f-msbk,h,vfr,s,p,1vf,2vfdt,"mppf, ffpf","organo-argillans, carbonate streaks (e)"
-117.080122,46.779112,39,2,22,39,Btb1,123,10YR,6,4,10YR,4,3,,3m-cosbk,h,vfr,s,p,-,3vfdt,"mppf, fdpo, cdpf","clay skins, OM lining root channels, Mn-nodules"
-117.080122,46.779112,39,2,22,39,Btb2,123+,10YR,5,4,10YR,4,4,,3m-cosbk,vh,fi,s,sp-p,-,3vfdt,"mdpf, cdpf, ffpf","clay skins, OM-clays in root channels, Mn-nodules"
-117.079286,46.779047,41,2,24,41,Ap,11,10YR,4,2,10YR,2,1,,2fgr-2fsbk,sh,vfr,so,po,3vf,3vfdt&I,-,-
-117.079286,46.779047,41,2,24,41,A,27,10YR,3,2,10YR,2,1,,2mgr-2msbk,mh,fr,so,po,2vf,3vfdt&I,-,earthworm casts
-117.079286,46.779047,41,2,24,41,AB,66,10YR,3,3,10YR,2,1,,2mgr-2msbk,mh,vfr,ss,sp,2vf,3vf-fdt&I,-,worm channels
-117.079286,46.779047,41,2,24,41,Bw,105,10YR,5,3,10YR,3,2,,2m-cosbk-2fpr,mh,vfr,ss,sp,2vf,3vf-fdt,ffpf,"clay lamellae, clay-filled worm channels"
-117.079286,46.779047,41,2,24,41,Btb,105+,10YR,5,4,10YR,3,4,,2msbk-2fpr,h,fi,s,p,1vf,3vfdt,cdpf,"clay skins, filled krotovina, washed silts in areas"
-117.088318,46.779153,43,3,3,43,Ap,17,10YR,4,3,10YR,2,2,,2fgr-2mbk,h,fi,so,po,3vf,2vfdt,-,slightly compacted
-117.088318,46.779153,43,3,3,43,A1,36,10YR,4,3,10YR,2,2,,2fgr-2msbk,mh,fr,so,po,3vf,3vfdt&I,-,"loose litter at top of horizon (plow pan?), earthworm casts"
-117.088318,46.779153,43,3,3,43,A2,68,10YR,4,4,10YR,2,2,,2f-msbk,sh,fr,ss,sp,2vf,3vfdt,-,-
-117.088318,46.779153,43,3,3,43,BE,89,10YR,5,3,10YR,3,3,,2msbk,mh,vfr,ss,sp,1vf,2vfdt,fdpf,"worm channels, washed silts on ped faces"
-117.088318,46.779153,43,3,3,43,EB,119,10YR,5,3,10YR,3,3,,2m-cosbk,h,vfr,ss,sp,1vf,2vf-fdt,-,"washed silts grading to eluviation, old filled krotovinas"
-117.088318,46.779153,43,3,3,43,E,119+,10YR,6,3,10YR,4,3,,2m-cosbk,mh,fr,so,p,-,3vfdt,-,"eluviation/reduction, transition to Btb at bottom of horizon"
-117.0874635,46.77928833,45,3,5,45,Ap,15,10YR,4,3,10YR,2,2,,2mgr-3msbk,h,fi,so-ss,sp,2vf,2vfdt&I,-,slightly compacted
-117.0874635,46.77928833,45,3,5,45,BA1,44,10YR,4,4,10YR,3,3,,2f-msbk,mh,vfr,ss,sp,3vf,3vfdt&I,fdpf,"washed silts in bottom of horizon, open & filled worm channels"
-117.0874635,46.77928833,45,3,5,45,BA2,69,10YR,5,4,10YR,3,3,,2m-cosbk,mh,vfr,ss,sp,3vf,3vfdt,fdpf,"washed silts, faint filled worm channels"
-117.0874635,46.77928833,45,3,5,45,Bw1,105,10YR,5,4,10YR,3,4,,2f-cosbk,sh,vfr,ss,sp,2vf,3vfdt,ffpf,"clay films, large partially filled krotovinas"
-117.0874635,46.77928833,45,3,5,45,Bw2,131,10YR,5,3,10YR,3,4,,2f-msbk-2fpr,mh,vfr,ss,sp,2vf,3vf-fdt,ffpf,"clay films, faint filled krotovinas"
-117.0874635,46.77928833,45,3,5,45,Bwb,131+,10YR,5,4,10YR,3,4,,2f-msbk,h,lo,ss,po,-,3vf-fdt,-,-
-117.086646,46.779363,47,3,7,47,Ap,20,10YR,5,3,10YR,2,2,,2mgr-2msbk,h,vfr,so,sp,3vf,3vfdt&I,-,slightly compacted
-117.086646,46.779363,47,3,7,47,AB,53,10YR,5,4,10YR,3,4,,2mgr-2cosbk,h,fi,ss,po,3vf,3vfdt&I,fdpo,"open & filled worm channels, dense horizon, no evidence of clay movement"
-117.086646,46.779363,47,3,7,47,Bw1,90,10YR,5,3,10YR,3,3,,2m-cosbk-2fpr,h,vfr,ss,po,1-2vf,3vf-fdt,ffpf,"clay films, open & filled channels, another dense, tough horizon"
-117.086646,46.779363,47,3,7,47,Bw2,124,10YR,6,4,10YR,3,4,,2m-cosbk,mh,vfr,ss,po,1vf,3vf-fdt,cfpf,"clay films, krotovinas, hard horizon"
-117.086646,46.779363,47,3,7,47,Bwb,124+,10YR,6,4,10YR,4,4,,2f-msbk,mh,lo,so-ss,po,-,2vfdt,ffpf,"clay films, filled krotovinas"
-117.08581,46.779238,49,3,9,49,Ap,24,10YR,3,2,10YR,2,1,,2fgr,so,vfr,so,po,3vf,3vfi,-,-
-117.08581,46.779238,49,3,9,49,A1,45,10YR,3,4,10YR,2,2,,2fgr-2fsbk,so-sh,fr,ss,po,2-3vf,3vfdt&I,-,heavier texture
-117.08581,46.779238,49,3,9,49,A2,71,10YR,5,3,10YR,3,3,,2f-msbk,mh,fr,ss,sp,2-3vf,3vfdt,fdpf,"washed silts, OM concentrations"
-117.08581,46.779238,49,3,9,49,BE,88,10YR,5,4,10YR,4,4,,2msbk-2fpr,h,fr,ss-s,sp,1-2vf,3vf-fdt,cdpf,"clay films, skeletans, filled krotovinas"
-117.08581,46.779238,49,3,9,49,Bw1,104,10YR,5,4,10YR,3,4,,2msbk,h,fi,ss-s,p,1-2vf,2vfdt,cppf,"clay lamellae in upper horizon, skeletans, krotovinas, clay films throughout"
-117.08581,46.779238,49,3,9,49,Bw2,136,10YR,6,4,10YR,4,4,,2msbk-2fpr,h,fi,s,p,1vf,2vfdt,mppf,"skeletans, OM-clay films, krotovinas"
-117.08581,46.779238,49,3,9,49,Bwb,136+,10YR,6,4,10YR,4,6,,2f-msbk,mh,fi,s,p,1vf,1vfdt,fdpf,"washed silts, large krotovina"
-117.0849635,46.77919681,51,3,11,51,Ap,15,10YR,4,2,10YR,3,1,,2mgr-2fsbk,mh,vfr,so,sp,3vf,3vfdt&I,-,"slightly compacted, earthworm casts"
-117.0849635,46.77919681,51,3,11,51,AB,46,10YR,4,4,10YR,3,3,,2f-cosbk,mh,fr,ss,sp,3vf,3vfdt,-,"some washed silts, filled & open worm channels"
-117.0849635,46.77919681,51,3,11,51,BA,71,10YR,5,4,10YR,3,3,,2m-cosbk,mh,fr,ss,sp,2vf,3vfdt,"cfpf, fdpo","clay films, filled & open krotovinas"
-117.0849635,46.77919681,51,3,11,51,Bw1,93,10YR,5,3,10YR,4,3,,2m-cosbk,mh,vfr,ss,sp,2vf,3vfdt,ffpf,"clay films, mixed with washed silts, clay lamellae at bottom of horizon, filled & open worm channels"
-117.0849635,46.77919681,51,3,11,51,Bw2,131,10YR,5,4,10YR,3,4,,2f-msbk-2fpr,sh,vfr,s,sp,1vf,3vfdt,cfpf,"clay films, filled krotovinas"
-117.0849635,46.77919681,51,3,11,51,Bwb,131+,10YR,6,4,10YR,3,4,,2f-msbk,h,vfr,so,po,-,3vfdt,-,large filled krotovina
-117.084138,46.779246,53,3,13,53,Ap,16,10YR,4,2,10YR,2,1,,2fgr-2fsbk,sh,vfr,so,po,3vf,3vfdt&I,-,-
